id_episode;id_personnage
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
201;1
202;1
203;1
204;1
205;1
206;1
207;1
208;1
209;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;1
222;1
223;1
224;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;1
310;1
311;1
312;1
313;1
314;1
315;1
316;1
317;1
318;1
319;1
320;1
321;1
322;1
323;1
324;1
325;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
414;1
415;1
416;1
417;1
418;1
419;1
420;1
421;1
422;1
423;1
424;1
501;1
502;1
503;1
504;1
505;1
506;1
507;1
508;1
509;1
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;1
521;1
522;1
523;1
524;1
601;1
602;1
603;1
604;1
605;1
606;1
607;1
608;1
609;1
610;1
611;1
612;1
613;1
614;1
615;1
616;1
617;1
618;1
619;1
620;1
621;1
622;1
623;1
624;1
625;1
701;1
702;1
703;1
704;1
705;1
706;1
707;1
708;1
709;1
710;1
711;1
712;1
713;1
714;1
715;1
716;1
717;1
718;1
719;1
720;1
721;1
722;1
723;1
724;1
801;1
802;1
803;1
804;1
805;1
806;1
807;1
808;1
809;1
810;1
811;1
812;1
813;1
814;1
815;1
816;1
817;1
818;1
819;1
820;1
821;1
822;1
823;1
824;1
901;1
902;1
903;1
904;1
905;1
906;1
907;1
908;1
909;1
910;1
911;1
912;1
913;1
914;1
915;1
916;1
917;1
918;1
919;1
920;1
921;1
922;1
923;1
924;1
1001;1
1002;1
1003;1
1004;1
1005;1
1006;1
1007;1
1008;1
1009;1
1010;1
1011;1
1012;1
1013;1
1014;1
1015;1
1016;1
1017;1
1018;1
101;2
102;2
103;2
104;2
105;2
106;2
107;2
108;2
109;2
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
201;2
202;2
203;2
204;2
205;2
206;2
207;2
208;2
209;2
210;2
211;2
212;2
213;2
214;2
215;2
216;2
217;2
218;2
219;2
220;2
221;2
222;2
223;2
224;2
301;2
302;2
303;2
304;2
305;2
306;2
307;2
308;2
309;2
310;2
311;2
312;2
313;2
314;2
315;2
316;2
317;2
318;2
319;2
320;2
321;2
322;2
323;2
324;2
325;2
401;2
402;2
403;2
404;2
405;2
406;2
407;2
408;2
409;2
410;2
411;2
412;2
413;2
414;2
415;2
416;2
417;2
418;2
419;2
420;2
421;2
422;2
423;2
424;2
501;2
502;2
503;2
504;2
505;2
506;2
507;2
508;2
509;2
510;2
511;2
512;2
513;2
514;2
515;2
516;2
517;2
518;2
519;2
520;2
521;2
522;2
523;2
524;2
601;2
602;2
603;2
604;2
605;2
606;2
607;2
608;2
609;2
610;2
611;2
612;2
613;2
614;2
615;2
616;2
617;2
618;2
619;2
620;2
621;2
622;2
623;2
624;2
625;2
701;2
702;2
703;2
704;2
705;2
706;2
707;2
708;2
709;2
710;2
711;2
712;2
713;2
714;2
715;2
716;2
717;2
718;2
719;2
720;2
721;2
722;2
723;2
724;2
801;2
802;2
803;2
804;2
